localidade,data,precipitacao,pressao_atmosferica,radiacao_solar_global,temperatura_bulbo_seco,temperatura_orvalho,umidade_relativa,velocidade_vento
BRASILIA,2019-07-16T00:00:00Z,0.0,888.52,1574.1,20.5,6.02,41.62,1.45
BRASILIA,2019-07-17T00:00:00Z,0.0,890.15,1451.01,20.47,10.25,53.71,1.97
BRASILIA,2019-07-18T00:00:00Z,0.0,891.28,1624.49,19.42,11.71,62.67,3.0
BRASILIA,2019-07-19T00:00:00Z,0.0,892.34,1668.58,18.17,9.73,59.12,3.64
BRASILIA,2019-07-20T00:00:00Z,0.0,891.72,1664.53,16.75,8.22,58.29,3.48
BRASILIA,2019-07-21T00:00:00Z,0.0,890.68,1274.14,17.94,9.02,56.83,3.12
BRASILIA,2019-07-22T00:00:00Z,0.0,891.07,1502.93,18.92,9.65,56.25,3.58
BRASILIA,2019-07-23T00:00:00Z,0.0,891.21,1504.92,18.73,9.69,57.38,3.74
BRASILIA,2019-07-24T00:00:00Z,0.0,891.01,1067.91,18.94,11.57,63.67,2.98
BRASILIA,2019-07-25T00:00:00Z,0.0,890.93,1715.45,18.63,11.2,67.0,2.46
BRASILIA,2019-07-26T00:00:00Z,0.0,891.69,1576.91,18.56,10.1,60.08,2.83
BRASILIA,2019-07-27T00:00:00Z,0.0,892.67,1688.62,17.94,7.02,50.17,3.13
BRASILIA,2019-07-28T00:00:00Z,0.0,891.2,1286.46,18.84,7.95,49.96,3.03
BRASILIA,2019-07-29T00:00:00Z,0.0,890.33,1416.97,19.43,9.28,54.67,2.03
BRASILIA,2019-07-30T00:00:00Z,0.0,890.2,1303.32,20.81,9.3,49.04,2.45
BRASILIA,2019-07-31T00:00:00Z,0.0,889.22,1626.43,21.18,8.83,48.5,1.69
BRASILIA,2019-08-01T00:00:00Z,0.0,888.27,1678.95,22.04,6.84,39.33,2.5
BRASILIA,2019-08-02T00:00:00Z,0.0,889.12,1446.92,20.92,7.22,44.0,1.54
BRASILIA,2019-08-03T00:00:00Z,0.0,889.43,1421.67,21.19,7.57,43.92,1.49
BRASILIA,2019-08-04T00:00:00Z,0.0,890.34,1458.48,20.69,8.93,50.42,2.6
BRASILIA,2019-08-05T00:00:00Z,0.0,892.45,1395.72,19.59,11.27,60.46,4.11
BRASILIA,2019-08-06T00:00:00Z,0.0,893.88,710.13,18.43,12.4,68.54,4.33
BRASILIA,2019-08-07T00:00:00Z,0.0,894.29,1614.05,18.72,11.16,65.21,3.54
BRASILIA,2019-08-08T00:00:00Z,0.0,893.5,1677.09,19.85,8.57,50.96,2.89
BRASILIA,2019-08-09T00:00:00Z,0.0,892.27,1537.11,20.44,10.98,56.29,2.41
BRASILIA,2019-08-10T00:00:00Z,0.0,892.08,1481.42,21.05,10.85,54.58,1.99
BRASILIA,2019-08-11T00:00:00Z,0.0,891.59,1316.1,22.28,10.75,49.17,2.48
BRASILIA,2019-08-12T00:00:00Z,0.0,890.61,1688.72,22.98,7.63,38.54,2.61
BRASILIA,2019-08-13T00:00:00Z,0.0,890.21,1694.35,21.76,6.74,40.12,2.45
BRASILIA,2019-08-14T00:00:00Z,0.0,890.56,1722.19,20.84,5.75,39.54,3.08
BRASILIA,2019-08-15T00:00:00Z,0.0,892.05,1595.98,19.86,7.59,45.88,4.12
BRASILIA,2019-08-16T00:00:00Z,0.0,892.26,1621.12,18.97,9.52,56.17,3.89
BRASILIA,2019-08-17T00:00:00Z,0.0,890.62,1543.33,19.77,8.64,50.17,3.0
BRASILIA,2019-08-18T00:00:00Z,0.0,889.85,1465.92,21.49,8.05,44.25,2.2
BRASILIA,2019-08-19T00:00:00Z,0.0,889.2,1435.64,23.34,6.98,37.12,1.51
BRASILIA,2019-08-20T00:00:00Z,0.0,889.55,1362.28,23.76,5.67,33.25,1.81
BRASILIA,2019-08-21T00:00:00Z,0.0,890.25,1623.46,23.0,6.45,36.21,1.93
BRASILIA,2019-08-22T00:00:00Z,0.0,890.14,1605.88,22.47,8.21,42.71,2.02
BRASILIA,2019-08-23T00:00:00Z,0.0,890.24,1433.42,23.05,8.72,42.12,1.8
BRASILIA,2019-08-24T00:00:00Z,0.0,890.22,1659.79,22.24,7.32,39.92,2.4
BRASILIA,2019-08-25T00:00:00Z,0.0,890.8,1705.06,23.05,7.63,38.62,3.0
BRASILIA,2019-08-26T00:00:00Z,0.0,891.25,1727.29,21.58,8.92,45.88,3.3
BRASILIA,2019-08-27T00:00:00Z,0.0,891.35,1711.3,21.06,8.76,47.38,3.25
BRASILIA,2019-08-28T00:00:00Z,0.0,890.32,1732.12,21.45,8.79,45.88,2.81
BRASILIA,2019-08-29T00:00:00Z,0.0,889.12,1451.72,22.03,8.83,44.08,2.87
BRASILIA,2019-08-30T00:00:00Z,0.0,889.11,1655.04,22.58,8.59,42.42,2.4
