localidade,cultura,ano,indicador,custo
PASSO FUNDO,TRIGO,2007,OUTRAS DESPESAS,112.15
PASSO FUNDO,TRIGO,2007,DESPESAS FINANCEIRAS,27.37
PASSO FUNDO,TRIGO,2007,DEPRECIACOES,110.65
PASSO FUNDO,TRIGO,2007,OUTROS CUSTOS FIXOS,38.15
PASSO FUNDO,TRIGO,2007,RENDA DE FATORES,223.15
PASSO FUNDO,TRIGO,2007,PRODUTIVIDADE MEDIA,2200.0
CRUZ ALTA,TRIGO,2007,CUSTEIO  DA LAVOURA,779.16
CRUZ ALTA,TRIGO,2007,OUTRAS DESPESAS,115.01
CRUZ ALTA,TRIGO,2007,DESPESAS FINANCEIRAS,29.76
CRUZ ALTA,TRIGO,2007,DEPRECIACOES,101.53
CRUZ ALTA,TRIGO,2007,OUTROS CUSTOS FIXOS,45.05
CRUZ ALTA,TRIGO,2007,RENDA DE FATORES,329.98
CRUZ ALTA,TRIGO,2007,PRODUTIVIDADE MEDIA,2100.0
PASSO FUNDO,TRIGO,2008,CUSTEIO  DA LAVOURA,925.38
PASSO FUNDO,TRIGO,2008,OUTRAS DESPESAS,133.34
PASSO FUNDO,TRIGO,2008,DESPESAS FINANCEIRAS,35.09
PASSO FUNDO,TRIGO,2008,DEPRECIACOES,114.12
PASSO FUNDO,TRIGO,2008,OUTROS CUSTOS FIXOS,47.83
PASSO FUNDO,TRIGO,2008,RENDA DE FATORES,337.28
PASSO FUNDO,TRIGO,2008,PRODUTIVIDADE MEDIA,2400.0
CRUZ ALTA,TRIGO,2008,CUSTEIO  DA LAVOURA,1060.41
CRUZ ALTA,TRIGO,2008,OUTRAS DESPESAS,135.91
CRUZ ALTA,TRIGO,2008,DESPESAS FINANCEIRAS,43.83
CRUZ ALTA,TRIGO,2008,DEPRECIACOES,124.27
CRUZ ALTA,TRIGO,2008,OUTROS CUSTOS FIXOS,48.43
CRUZ ALTA,TRIGO,2008,RENDA DE FATORES,396.3
CRUZ ALTA,TRIGO,2008,PRODUTIVIDADE MEDIA,2100.0
PASSO FUNDO,TRIGO,2009,CUSTEIO  DA LAVOURA,862.98
PASSO FUNDO,TRIGO,2009,OUTRAS DESPESAS,133.48
PASSO FUNDO,TRIGO,2009,DESPESAS FINANCEIRAS,32.33
PASSO FUNDO,TRIGO,2009,DEPRECIACOES,146.2
PASSO FUNDO,TRIGO,2009,OUTROS CUSTOS FIXOS,56.06
PASSO FUNDO,TRIGO,2009,RENDA DE FATORES,343.46
PASSO FUNDO,TRIGO,2009,PRODUTIVIDADE MEDIA,2400.0
PASSO FUNDO,TRIGO,2010,CUSTEIO  DA LAVOURA,794.87
PASSO FUNDO,TRIGO,2010,OUTRAS DESPESAS,129.39
PASSO FUNDO,TRIGO,2010,DESPESAS FINANCEIRAS,30.42
PASSO FUNDO,TRIGO,2010,DEPRECIACOES,139.63
PASSO FUNDO,TRIGO,2010,OUTROS CUSTOS FIXOS,55.32
PASSO FUNDO,TRIGO,2010,RENDA DE FATORES,340.13
PASSO FUNDO,TRIGO,2010,PRODUTIVIDADE MEDIA,2400.0
PASSO FUNDO,TRIGO,2011,CUSTEIO  DA LAVOURA,900.44
PASSO FUNDO,TRIGO,2011,OUTRAS DESPESAS,135.73
PASSO FUNDO,TRIGO,2011,DESPESAS FINANCEIRAS,35.3
PASSO FUNDO,TRIGO,2011,DEPRECIACOES,140.15
PASSO FUNDO,TRIGO,2011,OUTROS CUSTOS FIXOS,57.01
PASSO FUNDO,TRIGO,2011,RENDA DE FATORES,340.56
PASSO FUNDO,TRIGO,2011,PRODUTIVIDADE MEDIA,2400.0
PASSO FUNDO,TRIGO,2012,CUSTEIO  DA LAVOURA,870.06
PASSO FUNDO,TRIGO,2012,OUTRAS DESPESAS,153.05
PASSO FUNDO,TRIGO,2012,DESPESAS FINANCEIRAS,35.92
PASSO FUNDO,TRIGO,2012,DEPRECIACOES,154.95
PASSO FUNDO,TRIGO,2012,OUTROS CUSTOS FIXOS,6.13
PASSO FUNDO,TRIGO,2012,RENDA DE FATORES,390.31
PASSO FUNDO,TRIGO,2012,PRODUTIVIDADE MEDIA,2400.0
PASSO FUNDO,TRIGO,2013,CUSTEIO  DA LAVOURA,1161.4
PASSO FUNDO,TRIGO,2013,OUTRAS DESPESAS,221.28
PASSO FUNDO,TRIGO,2013,DESPESAS FINANCEIRAS,32.48
PASSO FUNDO,TRIGO,2013,DEPRECIACOES,160.95
PASSO FUNDO,TRIGO,2013,OUTROS CUSTOS FIXOS,110.94
PASSO FUNDO,TRIGO,2013,RENDA DE FATORES,513.54
PASSO FUNDO,TRIGO,2013,PRODUTIVIDADE MEDIA,2700.0
PASSO FUNDO,TRIGO,2014,CUSTEIO  DA LAVOURA,1259.22
PASSO FUNDO,TRIGO,2014,OUTRAS DESPESAS,195.03
PASSO FUNDO,TRIGO,2014,DESPESAS FINANCEIRAS,34.26
PASSO FUNDO,TRIGO,2014,DEPRECIACOES,147.94
PASSO FUNDO,TRIGO,2014,OUTROS CUSTOS FIXOS,119.36
PASSO FUNDO,TRIGO,2014,RENDA DE FATORES,578.63
PASSO FUNDO,TRIGO,2014,PRODUTIVIDADE MEDIA,2700.0
PASSO FUNDO,TRIGO,2015,CUSTEIO  DA LAVOURA,1445.27
PASSO FUNDO,TRIGO,2015,OUTRAS DESPESAS,230.47
PASSO FUNDO,TRIGO,2015,DESPESAS FINANCEIRAS,75.97
PASSO FUNDO,TRIGO,2015,DEPRECIACOES,167.09
PASSO FUNDO,TRIGO,2015,OUTROS CUSTOS FIXOS,120.12
PASSO FUNDO,TRIGO,2015,RENDA DE FATORES,669.83
PASSO FUNDO,TRIGO,2015,PRODUTIVIDADE MEDIA,2900.0
PASSO FUNDO,TRIGO,2016,CUSTEIO  DA LAVOURA,1487.52
PASSO FUNDO,TRIGO,2016,OUTRAS DESPESAS,218.39
PASSO FUNDO,TRIGO,2016,DESPESAS FINANCEIRAS,78.11
PASSO FUNDO,TRIGO,2016,DEPRECIACOES,195.73
PASSO FUNDO,TRIGO,2016,OUTROS CUSTOS FIXOS,124.38
PASSO FUNDO,TRIGO,2016,RENDA DE FATORES,734.88
PASSO FUNDO,TRIGO,2016,PRODUTIVIDADE MEDIA,2900.0
PASSO FUNDO,TRIGO,2017,CUSTEIO  DA LAVOURA,1431.78
PASSO FUNDO,TRIGO,2017,OUTRAS DESPESAS,222.38
PASSO FUNDO,TRIGO,2017,DESPESAS FINANCEIRAS,81.27
PASSO FUNDO,TRIGO,2017,DEPRECIACOES,176.64
PASSO FUNDO,TRIGO,2017,OUTROS CUSTOS FIXOS,131.67
PASSO FUNDO,TRIGO,2017,RENDA DE FATORES,775.45
PASSO FUNDO,TRIGO,2017,PRODUTIVIDADE MEDIA,2900.0
